classe,tree,fila,coluna,nivel,skill,kind,element,candidato_B_icone,candidato_B_autor,plausibilidade,nota
sorceress,cold-spells,1,2,1,Ice Bolt,spell,cold,lorc/ice-bolt,Lorc,direto,
sorceress,cold-spells,1,3,1,Frozen Armor,buff,cold,lorc/ice-shield,Lorc,aceitavel,"escudo e nao armadura; primeira de tres armaduras de gelo que precisam ser distinguiveis entre si"
sorceress,cold-spells,2,1,6,Frost Nova,spell,cold,delapouite/frozen-ring,Delapouite,aceitavel,"segundo autor na mesma arvore; Delapouite e Lorc tem tracos diferentes"
sorceress,cold-spells,2,2,6,Ice Blast,spell,cold,lorc/ice-bomb,Lorc,aceitavel,"bomba e nao projetil congelante"
sorceress,cold-spells,3,3,12,Shiver Armor,buff,cold,lorc/icicles-aura,Lorc,aceitavel,"segunda armadura de gelo"
sorceress,cold-spells,4,2,18,Glacial Spike,spell,cold,lorc/ice-spear,Lorc,direto,
sorceress,cold-spells,5,1,24,Blizzard,spell,cold,lorc/snowing,Lorc,aceitavel,"neve caindo; distingue-se de Ice Blast - a pergunta explicita de R-TREE-19"
sorceress,cold-spells,5,3,24,Chilling Armor,buff,cold,delapouite/frozen-body,Delapouite,forcado,"terceira armadura de gelo; o conjunto nao tem tres variantes coerentes e esta vem de outro autor"
sorceress,cold-spells,6,1,30,Frozen Orb,spell,cold,lorc/frozen-orb,Lorc,direto,
sorceress,cold-spells,6,2,30,Cold Mastery,passive,cold,lorc/cold-heart,Lorc,forcado,"o conceito mastery nao existe no conjunto; qualquer escolha e um decimo icone de gelo que colide com os outros nove"
sorceress,lightning-spells,1,2,1,Charged Bolt,spell,lightning,lorc/lightning-branches,Lorc,aceitavel,"ramos e nao multiplos projeteis"
sorceress,lightning-spells,2,1,6,Static Field,spell,lightning,lorc/static,Lorc,direto,
sorceress,lightning-spells,2,3,6,Telekinesis,spell,magic,lorc/psychic-waves,Lorc,aceitavel,"psiquico generico"
sorceress,lightning-spells,3,1,12,Nova,spell,lightning,lorc/circle-sparks,Lorc,aceitavel,
sorceress,lightning-spells,3,2,12,Lightning,spell,lightning,lorc/heavy-lightning,Lorc,direto,
